Time,PID,Event
7145,57,Job finished at CPU.
7145,57,Going to disk
7145,57,Arrived at disk 2
7277,58,Job arrived at CPU.
7277,58,Job started at CPU.
7291,58,Job finished at CPU.
7291,58,Going to disk
7291,58,Arrived at disk 1
7341,7,Job finished at disk 1.
7341,7,Returning to CPU
7341,22,Job started at disk 1.
7341,7,Job arrived at CPU.
7341,7,Job started at CPU.
7355,7,Job finished at CPU.
7355,7,Going to disk
7355,7,Arrived at disk 1
7418,59,Job arrived at CPU.
7418,59,Job started at CPU.
7429,59,Job finished at CPU.
7429,59,Going to disk
7429,59,Arrived at disk 2
7539,60,Job arrived at CPU.
7539,60,Job started at CPU.
7550,60,Job finished at CPU.
7550,60,Going to disk
7550,60,Arrived at disk 1
7644,61,Job arrived at CPU.
7644,61,Job started at CPU.
7659,61,Job finished at CPU.
7659,61,Going to disk
7659,61,Arrived at disk 2
7763,62,Job arrived at CPU.
7763,62,Job started at CPU.
7777,62,Job finished at CPU.
7777,62,Going to disk
7777,62,Arrived at disk 1
7883,63,Job arrived at CPU.
7883,63,Job started at CPU.
7897,63,Job finished at CPU.
7897,63,Going to disk
7897,63,Arrived at disk 2
7913,22,Job finished at disk 1.
7913,22,Returning to CPU
7913,25,Job started at disk 1.
7913,22,Job arrived at CPU.
7913,22,Job started at CPU.
7923,22,Job finished at CPU.
7923,22,Going to disk
7923,22,Arrived at disk 1
7970,21,Job finished at disk 2.
7970,21,Returning to CPU
7970,23,Job started at disk 2.
7970,21,Job arrived at CPU.
7970,21,Job started at CPU.
7985,21,Job finished at CPU.
7985,21,Job complete.
8013,64,Job arrived at CPU.
8013,64,Job started at CPU.
8024,64,Job finished at CPU.
8024,64,Going to disk
8024,64,Arrived at disk 2
8161,65,Job arrived at CPU.
8161,65,Job started at CPU.
8171,65,Job finished at CPU.
8171,65,Going to disk
8171,65,Arrived at disk 1
8302,66,Job arrived at CPU.
8302,66,Job started at CPU.
8316,66,Job finished at CPU.
8316,66,Going to disk
8316,66,Arrived at disk 2
8436,67,Job arrived at CPU.
8436,67,Job started at CPU.
8451,67,Job finished at CPU.
8451,67,Going to disk
8451,67,Arrived at disk 1
8545,68,Job arrived at CPU.
8545,68,Job started at CPU.
8557,68,Job finished at CPU.
8557,68,Going to disk
8557,68,Arrived at disk 2
8604,25,Job finished at disk 1.
8604,25,Returning to CPU
8604,3,Job started at disk 1.
8604,25,Job arrived at CPU.
8604,25,Job started at CPU.
8619,25,Job finished at CPU.
8619,25,Going to disk
8619,25,Arrived at disk 1
8663,69,Job arrived at CPU.
8663,69,Job started at CPU.
8675,69,Job finished at CPU.
8675,69,Going to disk
8675,69,Arrived at disk 1
8759,23,Job finished at disk 2.
8759,23,Returning to CPU
8759,24,Job started at disk 2.
8759,23,Job arrived at CPU.
8759,23,Job started at CPU.
8770,23,Job finished at CPU.
8770,23,Going to disk
8770,23,Arrived at disk 2
8775,70,Job arrived at CPU.
8775,70,Job started at CPU.
8787,70,Job finished at CPU.
8787,70,Going to disk
8787,70,Arrived at disk 2
8888,71,Job arrived at CPU.
8888,71,Job started at CPU.
8901,71,Job finished at CPU.
8901,71,Going to disk
8901,71,Arrived at disk 1
9015,72,Job arrived at CPU.
9015,72,Job started at CPU.
9026,72,Job finished at CPU.
9026,72,Going to disk
9026,72,Arrived at disk 2
9124,73,Job arrived at CPU.
9124,73,Job started at CPU.
9135,73,Job finished at CPU.
9135,73,Going to disk
9135,73,Arrived at disk 1
9234,74,Job arrived at CPU.
9234,74,Job started at CPU.
9246,74,Job finished at CPU.
9246,74,Going to disk
9246,74,Arrived at disk 2
9351,75,Job arrived at CPU.
9351,75,Job started at CPU.
9362,75,Job finished at CPU.
9362,75,Job complete.
9388,3,Job finished at disk 1.
9388,3,Returning to CPU
9388,27,Job started at disk 1.
9388,3,Job arrived at CPU.
9388,3,Job started at CPU.
9403,3,Job finished at CPU.
9403,3,Going to disk
9403,3,Arrived at disk 1
9488,76,Job arrived at CPU.
9488,76,Job started at CPU.
9500,76,Job finished at CPU.
9500,76,Going to disk
9500,76,Arrived at disk 1
9628,77,Job arrived at CPU.
9628,77,Job started at CPU.
9633,24,Job finished at disk 2.
9633,24,Returning to CPU
9633,26,Job started at disk 2.
9633,24,Job arrived at CPU.
9640,77,Job finished at CPU.
9640,77,Going to disk
9640,24,Job started at CPU.
9640,77,Arrived at disk 2
9651,24,Job finished at CPU.
9651,24,Job complete.
9732,78,Job arrived at CPU.
9732,78,Job started at CPU.
9744,78,Job finished at CPU.
9744,78,Going to disk
9744,78,Arrived at disk 2
9835,79,Job arrived at CPU.
9835,79,Job started at CPU.
9848,79,Job finished at CPU.
9848,79,Going to disk
9848,79,Arrived at disk 1
9974,80,Job arrived at CPU.
9974,80,Job started at CPU.
9983,27,Job finished at disk 1.
9983,27,Returning to CPU
9983,10,Job started at disk 1.
9983,27,Job arrived at CPU.
9985,80,Job finished at CPU.
9985,80,Going to disk
9985,27,Job started at CPU.
9985,80,Arrived at disk 1
9996,27,Job finished at CPU.
9996,27,Job complete.
10079,81,Job arrived at CPU.
10079,81,Job started at CPU.
10091,81,Job finished at CPU.
10091,81,Going to disk
10091,81,Arrived at disk 2
10184,82,Job arrived at CPU.
10184,82,Job started at CPU.
10199,82,Job finished at CPU.
10199,82,Job complete.
10249,26,Job finished at disk 2.
10249,26,Returning to CPU
10249,8,Job started at disk 2.
10249,26,Job arrived at CPU.
10249,26,Job started at CPU.
10259,26,Job finished at CPU.
10259,26,Going to disk
10259,26,Arrived at disk 2
10312,83,Job arrived at CPU.
10312,83,Job started at CPU.
10324,83,Job finished at CPU.
10324,83,Going to disk
10324,83,Arrived at disk 1
10447,84,Job arrived at CPU.
10447,84,Job started at CPU.
10457,84,Job finished at CPU.
10457,84,Going to disk
10457,84,Arrived at disk 2
10565,85,Job arrived at CPU.
10565,85,Job started at CPU.
10579,85,Job finished at CPU.
10579,85,Going to disk
10579,85,Arrived at disk 1
10710,86,Job arrived at CPU.
10710,86,Job started at CPU.
10722,10,Job finished at disk 1.
10722,10,Returning to CPU
10722,32,Job started at disk 1.
10722,10,Job arrived at CPU.
10725,86,Job finished at CPU.
10725,86,Going to disk
10725,10,Job started at CPU.
10725,86,Arrived at disk 1
10739,10,Job finished at CPU.
10739,10,Going to disk
10739,10,Arrived at disk 2
10857,87,Job arrived at CPU.
10857,87,Job started at CPU.
10871,87,Job finished at CPU.
10871,87,Going to disk
10871,87,Arrived at disk 1
10898,8,Job finished at disk 2.
10898,8,Returning to CPU
10898,29,Job started at disk 2.
10898,8,Job arrived at CPU.
10898,8,Job started at CPU.
10912,8,Job finished at CPU.
10912,8,Going to disk
10912,8,Arrived at disk 2
10964,88,Job arrived at CPU.
10964,88,Job started at CPU.
10975,88,Job finished at CPU.
10975,88,Going to disk
10975,88,Arrived at disk 2
11083,89,Job arrived at CPU.
11083,89,Job started at CPU.
11093,89,Job finished at CPU.
11093,89,Going to disk
11093,89,Arrived at disk 1
11206,90,Job arrived at CPU.
11206,90,Job started at CPU.
11216,90,Job finished at CPU.
11216,90,Going to disk
11216,90,Arrived at disk 2
11338,91,Job arrived at CPU.
11338,91,Job started at CPU.
11351,91,Job finished at CPU.
11351,91,Going to disk
11351,91,Arrived at disk 1
11417,32,Job finished at disk 1.
11417,32,Returning to CPU
11417,35,Job started at disk 1.
11417,32,Job arrived at CPU.
11417,32,Job started at CPU.
11427,32,Job finished at CPU.
11427,32,Going to disk
11427,32,Arrived at disk 1
